Algorithm,Makespan,Utilization,LoadImbalance,Speedup
FCFS,958,76.8789,0.340801,1.53758
RoundRobin,945,77.9365,0.0285132,1.55873
MinMin,870,84.6552,0.21317,1.6931
MaxMin,967,76.1634,0.625933,1.52327
LoadAware,869,84.7526,0.0936864,1.69505
FCFS,701,52.5321,1.12695,2.10128
RoundRobin,666,55.2928,0.540394,2.21171
MinMin,674,54.6365,0.79294,2.18546
MaxMin,740,49.7635,1.76239,1.99054
LoadAware,637,57.81,0.219959,2.3124
FCFS,647,28.4583,2.83503,2.27666
RoundRobin,584,31.5283,0.852682,2.52226
MinMin,633,29.0877,2.09097,2.32701
MaxMin,690,26.6848,3.74745,2.13478
LoadAware,584,31.5283,0.505092,2.52226
FCFS,1656,81.6425,0.360947,1.63285
RoundRobin,1609,84.0273,0.14645,1.68055
MinMin,1625,83.2,0.16716,1.664
MaxMin,1747,77.3898,0.58432,1.5478
LoadAware,1566,86.3346,0.0813609,1.72669
FCFS,1190,56.8067,1.09911,2.27227
RoundRobin,1122,60.2496,0.130178,2.40998
MinMin,1198,56.4274,0.705621,2.2571
MaxMin,1350,50.0741,1.78994,2.00296
LoadAware,1122,60.2496,0.244083,2.40998
FCFS,1105,30.5882,2.78994,2.44706
RoundRobin,1018,33.2024,0.360947,2.65619
MinMin,1143,29.5713,2.27219,2.3657
MaxMin,1276,26.489,3.77515,2.11912
LoadAware,1012,33.3992,0.298817,2.67194
FCFS,3052,85.7962,0.220355,1.71592
RoundRobin,3022,86.6479,0.100439,1.73296
MinMin,3052,85.7962,0.0805805,1.71592
MaxMin,3321,78.8467,0.536567,1.57693
LoadAware,2964,88.3435,0.0294061,1.76687
FCFS,2146,61.0089,0.755394,2.44035
RoundRobin,2095,62.494,0.192477,2.49976
MinMin,2100,62.3452,0.435364,2.49381
MaxMin,2431,53.8564,1.59633,2.15426
LoadAware,1952,67.0722,0.0893641,2.68289
FCFS,2014,32.5037,2.24709,2.6003
RoundRobin,1801,36.3479,0.320794,2.90783
MinMin,1966,33.2973,2.18293,2.66378
MaxMin,2303,28.4249,3.50124,2.27399
LoadAware,1728,37.8834,0.453695,3.03067
